id,tradingsymbol,instrument_type,strike,expiry,instrument_token,lot_size,exchange_token,index_name,tick_size,last_updated
0,NIFTY 50,INDEX,,,256265,0,1001,NIFTY,,2026-03-23
1,NIFTY26MARFUT,FUT,0,2026-03-30,13238786,65,51714,NIFTY,0.1,
2,NIFTY26APRFUT,FUT,0,2026-04-28,17072898,65,66691,NIFTY,0.1,
3,NIFTY26MAYFUT,FUT,0,2026-05-26,16914178,65,66071,NIFTY,0.1,
4,NIFTY2632422500CE,CE,22500,2026-03-24,15983106,65,62434,NIFTY,0.05,
5,NIFTY2632422500PE,PE,22500,2026-03-24,15983362,65,62435,NIFTY,0.05,
6,NIFTY2632422550CE,CE,22550,2026-03-24,15983618,65,62436,NIFTY,0.05,
7,NIFTY2632422550PE,PE,22550,2026-03-24,15983874,65,62437,NIFTY,0.05,
8,NIFTY2632422450CE,CE,22450,2026-03-24,15976194,65,62407,NIFTY,0.05,
9,NIFTY2632422450PE,PE,22450,2026-03-24,15976450,65,62408,NIFTY,0.05,
10,NIFTY2632422600CE,CE,22600,2026-03-24,15999490,65,62498,NIFTY,0.05,
11,NIFTY2632422600PE,PE,22600,2026-03-24,15999746,65,62499,NIFTY,0.05,
12,NIFTY2632422400CE,CE,22400,2026-03-24,15975170,65,62403,NIFTY,0.05,
13,NIFTY2632422400PE,PE,22400,2026-03-24,15975938,65,62406,NIFTY,0.05,
14,NIFTY2632422650CE,CE,22650,2026-03-24,16002050,65,62508,NIFTY,0.05,
15,NIFTY2632422650PE,PE,22650,2026-03-24,16002306,65,62509,NIFTY,0.05,
16,NIFTY2632422350CE,CE,22350,2026-03-24,15973634,65,62397,NIFTY,0.05,
17,NIFTY2632422350PE,PE,22350,2026-03-24,15973890,65,62398,NIFTY,0.05,
18,NIFTY2632422700CE,CE,22700,2026-03-24,16014082,65,62555,NIFTY,0.05,
19,NIFTY2632422700PE,PE,22700,2026-03-24,16014338,65,62556,NIFTY,0.05,
20,NIFTY2632422300CE,CE,22300,2026-03-24,15973122,65,62395,NIFTY,0.05,
21,NIFTY2632422300PE,PE,22300,2026-03-24,15973378,65,62396,NIFTY,0.05,
22,NIFTY2632422750CE,CE,22750,2026-03-24,16014594,65,62557,NIFTY,0.05,
23,NIFTY2632422750PE,PE,22750,2026-03-24,16015618,65,62561,NIFTY,0.05,
24,NIFTY2632422250CE,CE,22250,2026-03-24,15972610,65,62393,NIFTY,0.05,
25,NIFTY2632422250PE,PE,22250,2026-03-24,15972866,65,62394,NIFTY,0.05,
26,NIFTY2632422800CE,CE,22800,2026-03-24,16015874,65,62562,NIFTY,0.05,
27,NIFTY2632422800PE,PE,22800,2026-03-24,16016130,65,62563,NIFTY,0.05,
28,NIFTY2632422200CE,CE,22200,2026-03-24,15971074,65,62387,NIFTY,0.05,
29,NIFTY2632422200PE,PE,22200,2026-03-24,15972354,65,62392,NIFTY,0.05,
30,NIFTY2632422850CE,CE,22850,2026-03-24,16016386,65,62564,NIFTY,0.05,
31,NIFTY2632422850PE,PE,22850,2026-03-24,16016642,65,62565,NIFTY,0.05,
32,NIFTY2632422150CE,CE,22150,2026-03-24,15970562,65,62385,NIFTY,0.05,
33,NIFTY2632422150PE,PE,22150,2026-03-24,15970818,65,62386,NIFTY,0.05,
34,NIFTY2632422900PE,PE,22900,2026-03-24,16017154,65,62567,NIFTY,0.05,
35,NIFTY2632427550CE,CE,27550,2026-03-24,16123906,65,62984,NIFTY,0.05,
36,NIFTY2632427550PE,PE,27550,2026-03-24,16124162,65,62985,NIFTY,0.05,
37,NIFTY2632427500CE,CE,27500,2026-03-24,16123394,65,62982,NIFTY,0.05,
38,NIFTY2632427500PE,PE,27500,2026-03-24,16123650,65,62983,NIFTY,0.05,
39,NIFTY2632427450CE,CE,27450,2026-03-24,16122882,65,62980,NIFTY,0.05,
40,NIFTY2632427450PE,PE,27450,2026-03-24,16123138,65,62981,NIFTY,0.05,
41,NIFTY2632427400CE,CE,27400,2026-03-24,16120322,65,62970,NIFTY,0.05,
42,NIFTY2632427400PE,PE,27400,2026-03-24,16120578,65,62971,NIFTY,0.05,
43,NIFTY2632427350CE,CE,27350,2026-03-24,16118274,65,62962,NIFTY,0.05,
44,NIFTY2632427350PE,PE,27350,2026-03-24,16118530,65,62963,NIFTY,0.05,
45,NIFTY2632427300CE,CE,27300,2026-03-24,16117250,65,62958,NIFTY,0.05,
46,NIFTY2632427300PE,PE,27300,2026-03-24,16117506,65,62959,NIFTY,0.05,
47,NIFTY2632427250CE,CE,27250,2026-03-24,16113154,65,62942,NIFTY,0.05,
48,NIFTY2632427250PE,PE,27250,2026-03-24,16113410,65,62943,NIFTY,0.05,
49,NIFTY2632427200CE,CE,27200,2026-03-24,16112642,65,62940,NIFTY,0.05,
50,NIFTY2632427200PE,PE,27200,2026-03-24,16112898,65,62941,NIFTY,0.05,
51,NIFTY2632427150CE,CE,27150,2026-03-24,16112130,65,62938,NIFTY,0.05,
52,NIFTY2632427150PE,PE,27150,2026-03-24,16112386,65,62939,NIFTY,0.05,
53,NIFTY2632427100CE,CE,27100,2026-03-24,16098818,65,62886,NIFTY,0.05,
54,NIFTY2632427100PE,PE,27100,2026-03-24,16111106,65,62934,NIFTY,0.05,
55,NIFTY2632427050CE,CE,27050,2026-03-24,16098306,65,62884,NIFTY,0.05,
56,NIFTY2632427050PE,PE,27050,2026-03-24,16098562,65,62885,NIFTY,0.05,
57,NIFTY2632427000CE,CE,27000,2026-03-24,16097794,65,62882,NIFTY,0.05,
58,NIFTY2632427000PE,PE,27000,2026-03-24,16098050,65,62883,NIFTY,0.05,
59,NIFTY2632426950CE,CE,26950,2026-03-24,16097282,65,62880,NIFTY,0.05,
60,NIFTY2632426950PE,PE,26950,2026-03-24,16097538,65,62881,NIFTY,0.05,
61,NIFTY2632426900CE,CE,26900,2026-03-24,16096002,65,62875,NIFTY,0.05,
62,NIFTY2632426900PE,PE,26900,2026-03-24,16096770,65,62878,NIFTY,0.05,
63,NIFTY2632426850CE,CE,26850,2026-03-24,16095490,65,62873,NIFTY,0.05,
64,NIFTY2632426850PE,PE,26850,2026-03-24,16095746,65,62874,NIFTY,0.05,
65,NIFTY2632426800CE,CE,26800,2026-03-24,16094978,65,62871,NIFTY,0.05,
66,NIFTY2632426800PE,PE,26800,2026-03-24,16095234,65,62872,NIFTY,0.05,
67,NIFTY2632426750CE,CE,26750,2026-03-24,16094210,65,62868,NIFTY,0.05,
68,NIFTY2632426750PE,PE,26750,2026-03-24,16094466,65,62869,NIFTY,0.05,
69,NIFTY2632426700CE,CE,26700,2026-03-24,16093698,65,62866,NIFTY,0.05,
70,NIFTY2632426700PE,PE,26700,2026-03-24,16093954,65,62867,NIFTY,0.05,
71,NIFTY2632426650CE,CE,26650,2026-03-24,16093186,65,62864,NIFTY,0.05,
72,NIFTY2632426650PE,PE,26650,2026-03-24,16093442,65,62865,NIFTY,0.05,
73,NIFTY2632426600CE,CE,26600,2026-03-24,16092674,65,62862,NIFTY,0.05,
74,NIFTY2632426600PE,PE,26600,2026-03-24,16092930,65,62863,NIFTY,0.05,
75,NIFTY2632426550CE,CE,26550,2026-03-24,16092162,65,62860,NIFTY,0.05,
76,NIFTY2632426550PE,PE,26550,2026-03-24,16092418,65,62861,NIFTY,0.05,
77,NIFTY2632426500CE,CE,26500,2026-03-24,16091650,65,62858,NIFTY,0.05,
78,NIFTY2632426500PE,PE,26500,2026-03-24,16091906,65,62859,NIFTY,0.05,
79,NIFTY2632426450CE,CE,26450,2026-03-24,16090626,65,62854,NIFTY,0.05,
80,NIFTY2632426450PE,PE,26450,2026-03-24,16090882,65,62855,NIFTY,0.05,
81,NIFTY2632426400CE,CE,26400,2026-03-24,16090114,65,62852,NIFTY,0.05,
82,NIFTY2632426400PE,PE,26400,2026-03-24,16090370,65,62853,NIFTY,0.05,
83,NIFTY2632426350CE,CE,26350,2026-03-24,16089602,65,62850,NIFTY,0.05,
84,NIFTY2632426350PE,PE,26350,2026-03-24,16089858,65,62851,NIFTY,0.05,
85,NIFTY2632426300CE,CE,26300,2026-03-24,16089090,65,62848,NIFTY,0.05,
86,NIFTY2632426300PE,PE,26300,2026-03-24,16089346,65,62849,NIFTY,0.05,
87,NIFTY2632426250CE,CE,26250,2026-03-24,16087298,65,62841,NIFTY,0.05,
88,NIFTY2632426250PE,PE,26250,2026-03-24,16087554,65,62842,NIFTY,0.05,
89,NIFTY2632426200CE,CE,26200,2026-03-24,16086786,65,62839,NIFTY,0.05,
90,NIFTY2632426200PE,PE,26200,2026-03-24,16087042,65,62840,NIFTY,0.05,
91,NIFTY2632426150CE,CE,26150,2026-03-24,16084482,65,62830,NIFTY,0.05,
92,NIFTY2632426150PE,PE,26150,2026-03-24,16086530,65,62838,NIFTY,0.05,
93,NIFTY2632426100CE,CE,26100,2026-03-24,16083458,65,62826,NIFTY,0.05,
94,NIFTY2632426100PE,PE,26100,2026-03-24,16083714,65,62827,NIFTY,0.05,
95,NIFTY2632426050CE,CE,26050,2026-03-24,16080898,65,62816,NIFTY,0.05,
96,NIFTY2632426050PE,PE,26050,2026-03-24,16083202,65,62825,NIFTY,0.05,
97,NIFTY2632426000CE,CE,26000,2026-03-24,16079874,65,62812,NIFTY,0.05,
98,NIFTY2632426000PE,PE,26000,2026-03-24,16080130,65,62813,NIFTY,0.05,
99,NIFTY2632425950CE,CE,25950,2026-03-24,16079362,65,62810,NIFTY,0.05,
100,NIFTY2632425950PE,PE,25950,2026-03-24,16079618,65,62811,NIFTY,0.05,
101,NIFTY2632425900CE,CE,25900,2026-03-24,16078338,65,62806,NIFTY,0.05,
102,NIFTY2632425900PE,PE,25900,2026-03-24,16078594,65,62807,NIFTY,0.05,
103,NIFTY2632425850CE,CE,25850,2026-03-24,16077314,65,62802,NIFTY,0.05,
104,NIFTY2632425850PE,PE,25850,2026-03-24,16077570,65,62803,NIFTY,0.05,
105,NIFTY2632425800CE,CE,25800,2026-03-24,16075522,65,62795,NIFTY,0.05,
106,NIFTY2632425800PE,PE,25800,2026-03-24,16076034,65,62797,NIFTY,0.05,
107,NIFTY2632425750CE,CE,25750,2026-03-24,16075010,65,62793,NIFTY,0.05,
108,NIFTY2632425750PE,PE,25750,2026-03-24,16075266,65,62794,NIFTY,0.05,
109,NIFTY2632425700CE,CE,25700,2026-03-24,16074498,65,62791,NIFTY,0.05,
110,NIFTY2632425700PE,PE,25700,2026-03-24,16074754,65,62792,NIFTY,0.05,
111,NIFTY2632425650CE,CE,25650,2026-03-24,16073986,65,62789,NIFTY,0.05,
112,NIFTY2632425650PE,PE,25650,2026-03-24,16074242,65,62790,NIFTY,0.05,
113,NIFTY2632425600CE,CE,25600,2026-03-24,16069890,65,62773,NIFTY,0.05,
114,NIFTY2632425600PE,PE,25600,2026-03-24,16070914,65,62777,NIFTY,0.05,
115,NIFTY2632425550CE,CE,25550,2026-03-24,16069378,65,62771,NIFTY,0.05,
116,NIFTY2632425550PE,PE,25550,2026-03-24,16069634,65,62772,NIFTY,0.05,
117,NIFTY2632425500CE,CE,25500,2026-03-24,16067842,65,62765,NIFTY,0.05,
118,NIFTY2632425500PE,PE,25500,2026-03-24,16068098,65,62766,NIFTY,0.05,
119,NIFTY2632425450CE,CE,25450,2026-03-24,16067330,65,62763,NIFTY,0.05,
120,NIFTY2632425450PE,PE,25450,2026-03-24,16067586,65,62764,NIFTY,0.05,
121,NIFTY2632425400CE,CE,25400,2026-03-24,16062722,65,62745,NIFTY,0.05,
122,NIFTY2632425400PE,PE,25400,2026-03-24,16067074,65,62762,NIFTY,0.05,
123,NIFTY2632425350CE,CE,25350,2026-03-24,16061186,65,62739,NIFTY,0.05,
124,NIFTY2632425350PE,PE,25350,2026-03-24,16062466,65,62744,NIFTY,0.05,
125,NIFTY2632425300CE,CE,25300,2026-03-24,16060674,65,62737,NIFTY,0.05,
126,NIFTY2632425300PE,PE,25300,2026-03-24,16060930,65,62738,NIFTY,0.05,
127,NIFTY2632425250CE,CE,25250,2026-03-24,16059138,65,62731,NIFTY,0.05,
128,NIFTY2632425250PE,PE,25250,2026-03-24,16059394,65,62732,NIFTY,0.05,
129,NIFTY2632425200CE,CE,25200,2026-03-24,16055810,65,62718,NIFTY,0.05,
130,NIFTY2632425200PE,PE,25200,2026-03-24,16056066,65,62719,NIFTY,0.05,
131,NIFTY2632425150CE,CE,25150,2026-03-24,16055298,65,62716,NIFTY,0.05,
132,NIFTY2632425150PE,PE,25150,2026-03-24,16055554,65,62717,NIFTY,0.05,
133,NIFTY2632425100CE,CE,25100,2026-03-24,16054786,65,62714,NIFTY,0.05,
134,NIFTY2632425100PE,PE,25100,2026-03-24,16055042,65,62715,NIFTY,0.05,
135,NIFTY2632425050CE,CE,25050,2026-03-24,16054274,65,62712,NIFTY,0.05,
136,NIFTY2632425050PE,PE,25050,2026-03-24,16054530,65,62713,NIFTY,0.05,
137,NIFTY2632425000CE,CE,25000,2026-03-24,16053762,65,62710,NIFTY,0.05,
138,NIFTY2632425000PE,PE,25000,2026-03-24,16054018,65,62711,NIFTY,0.05,
139,NIFTY2632424950CE,CE,24950,2026-03-24,16052738,65,62706,NIFTY,0.05,
140,NIFTY2632424950PE,PE,24950,2026-03-24,16052994,65,62707,NIFTY,0.05,
141,NIFTY2632424900CE,CE,24900,2026-03-24,16049666,65,62694,NIFTY,0.05,
142,NIFTY2632424900PE,PE,24900,2026-03-24,16050434,65,62697,NIFTY,0.05,
143,NIFTY2632424850CE,CE,24850,2026-03-24,16048642,65,62690,NIFTY,0.05,
144,NIFTY2632424850PE,PE,24850,2026-03-24,16049410,65,62693,NIFTY,0.05,
145,NIFTY2632424800CE,CE,24800,2026-03-24,16048130,65,62688,NIFTY,0.05,
146,NIFTY2632424800PE,PE,24800,2026-03-24,16048386,65,62689,NIFTY,0.05,
147,NIFTY2632424750CE,CE,24750,2026-03-24,16047618,65,62686,NIFTY,0.05,
148,NIFTY2632424750PE,PE,24750,2026-03-24,16047874,65,62687,NIFTY,0.05,
149,NIFTY2632424700CE,CE,24700,2026-03-24,16047106,65,62684,NIFTY,0.05,
150,NIFTY2632424700PE,PE,24700,2026-03-24,16047362,65,62685,NIFTY,0.05,
151,NIFTY2632424650CE,CE,24650,2026-03-24,16046594,65,62682,NIFTY,0.05,
152,NIFTY2632424650PE,PE,24650,2026-03-24,16046850,65,62683,NIFTY,0.05,
153,NIFTY2632424600CE,CE,24600,2026-03-24,16046082,65,62680,NIFTY,0.05,
154,NIFTY2632424600PE,PE,24600,2026-03-24,16046338,65,62681,NIFTY,0.05,
155,NIFTY2632424550CE,CE,24550,2026-03-24,16044546,65,62674,NIFTY,0.05,
156,NIFTY2632424550PE,PE,24550,2026-03-24,16045314,65,62677,NIFTY,0.05,
157,NIFTY2632424500CE,CE,24500,2026-03-24,16042498,65,62666,NIFTY,0.05,
158,NIFTY2632424500PE,PE,24500,2026-03-24,16044290,65,62673,NIFTY,0.05,
159,NIFTY2632424450CE,CE,24450,2026-03-24,16041986,65,62664,NIFTY,0.05,
160,NIFTY2632424450PE,PE,24450,2026-03-24,16042242,65,62665,NIFTY,0.05,
161,NIFTY2632424400CE,CE,24400,2026-03-24,16041474,65,62662,NIFTY,0.05,
162,NIFTY2632424400PE,PE,24400,2026-03-24,16041730,65,62663,NIFTY,0.05,
163,NIFTY2632424350CE,CE,24350,2026-03-24,16040962,65,62660,NIFTY,0.05,
164,NIFTY2632424350PE,PE,24350,2026-03-24,16041218,65,62661,NIFTY,0.05,
165,NIFTY2632424300CE,CE,24300,2026-03-24,16037890,65,62648,NIFTY,0.05,
166,NIFTY2632424300PE,PE,24300,2026-03-24,16040706,65,62659,NIFTY,0.05,
167,NIFTY2632424250CE,CE,24250,2026-03-24,16037378,65,62646,NIFTY,0.05,
168,NIFTY2632424250PE,PE,24250,2026-03-24,16037634,65,62647,NIFTY,0.05,
169,NIFTY2632424200CE,CE,24200,2026-03-24,16036866,65,62644,NIFTY,0.05,
170,NIFTY2632424200PE,PE,24200,2026-03-24,16037122,65,62645,NIFTY,0.05,
171,NIFTY2632424150CE,CE,24150,2026-03-24,16036354,65,62642,NIFTY,0.05,
172,NIFTY2632424150PE,PE,24150,2026-03-24,16036610,65,62643,NIFTY,0.05,
173,NIFTY2632424100CE,CE,24100,2026-03-24,16033282,65,62630,NIFTY,0.05,
174,NIFTY2632424100PE,PE,24100,2026-03-24,16036098,65,62641,NIFTY,0.05,
175,NIFTY2632424050CE,CE,24050,2026-03-24,16031746,65,62624,NIFTY,0.05,
176,NIFTY2632424050PE,PE,24050,2026-03-24,16032002,65,62625,NIFTY,0.05,
177,NIFTY2632424000CE,CE,24000,2026-03-24,16031234,65,62622,NIFTY,0.05,
178,NIFTY2632424000PE,PE,24000,2026-03-24,16031490,65,62623,NIFTY,0.05,
179,NIFTY2632423950CE,CE,23950,2026-03-24,16030722,65,62620,NIFTY,0.05,
180,NIFTY2632423950PE,PE,23950,2026-03-24,16030978,65,62621,NIFTY,0.05,
181,NIFTY2632423900CE,CE,23900,2026-03-24,16030210,65,62618,NIFTY,0.05,
182,NIFTY2632423900PE,PE,23900,2026-03-24,16030466,65,62619,NIFTY,0.05,
183,NIFTY2632423850CE,CE,23850,2026-03-24,16029698,65,62616,NIFTY,0.05,
184,NIFTY2632423850PE,PE,23850,2026-03-24,16029954,65,62617,NIFTY,0.05,
185,NIFTY2632423800CE,CE,23800,2026-03-24,16027906,65,62609,NIFTY,0.05,
186,NIFTY2632423800PE,PE,23800,2026-03-24,16029442,65,62615,NIFTY,0.05,
187,NIFTY2632423750CE,CE,23750,2026-03-24,16027394,65,62607,NIFTY,0.05,
188,NIFTY2632423750PE,PE,23750,2026-03-24,16027650,65,62608,NIFTY,0.05,
189,NIFTY2632423700CE,CE,23700,2026-03-24,16026882,65,62605,NIFTY,0.05,
190,NIFTY2632423700PE,PE,23700,2026-03-24,16027138,65,62606,NIFTY,0.05,
191,NIFTY2632423650CE,CE,23650,2026-03-24,16026114,65,62602,NIFTY,0.05,
192,NIFTY2632423650PE,PE,23650,2026-03-24,16026626,65,62604,NIFTY,0.05,
193,NIFTY2632423600CE,CE,23600,2026-03-24,16025602,65,62600,NIFTY,0.05,
194,NIFTY2632423600PE,PE,23600,2026-03-24,16025858,65,62601,NIFTY,0.05,
195,NIFTY2632423550CE,CE,23550,2026-03-24,16025090,65,62598,NIFTY,0.05,
196,NIFTY2632423550PE,PE,23550,2026-03-24,16025346,65,62599,NIFTY,0.05,
197,NIFTY2632423500CE,CE,23500,2026-03-24,16024578,65,62596,NIFTY,0.05,
198,NIFTY2632423500PE,PE,23500,2026-03-24,16024834,65,62597,NIFTY,0.05,
199,NIFTY2632423450CE,CE,23450,2026-03-24,16024066,65,62594,NIFTY,0.05,
